unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1663113600,2022-09-14 00:00:00,BTC/USD,20175,20526,19623,20233,2793.90630535,56529106.276146546
1663027200,2022-09-13 00:00:00,BTC/USD,22396,22781,19862,20177,3927.08003147,79236693.79497018
1662940800,2022-09-12 00:00:00,BTC/USD,21836,22485,21565,22401,2496.98699671,55935005.713300705
1662854400,2022-09-11 00:00:00,BTC/USD,21663,21871,21360,21835,844.39459098,18437355.8940483
1662768000,2022-09-10 00:00:00,BTC/USD,21371,21814,21125,21672,1355.39296702,29374076.38125744
1662681600,2022-09-09 00:00:00,BTC/USD,19327,21610,19303,21371,4009.32373236,85683257.48426557
1662595200,2022-09-08 00:00:00,BTC/USD,19301,19454,19023,19322,1759.19295086,33991126.19651692
1662508800,2022-09-07 00:00:00,BTC/USD,18808,19456,18540,19276,1946.27402334,37516378.07390184
1662422400,2022-09-06 00:00:00,BTC/USD,19799,20181,18669,18789,3216.97354596,60443715.955042444
1662336000,2022-09-05 00:00:00,BTC/USD,20014,20051,19634,19794,975.96352852,19318222.08352488
1662249600,2022-09-04 00:00:00,BTC/USD,19840,20025,19586,20007,468.46460815,9372571.41525705
1662163200,2022-09-03 00:00:00,BTC/USD,19950,20053,19667,19840,454.45221631,9016331.9715904
1662076800,2022-09-02 00:00:00,BTC/USD,20133,20440,19762,19959,1704.54970941,34021107.65011419
1661990400,2022-09-01 00:00:00,BTC/USD,20049,20202,19573,20128,1841.61890225,37068105.264488
1661904000,2022-08-31 00:00:00,BTC/USD,19836,20490,19822,20059,2271.16555773,45557309.922506064
1661817600,2022-08-30 00:00:00,BTC/USD,20300,20575,19552,19819,2061.62816733,40859408.64831327
1661731200,2022-08-29 00:00:00,BTC/USD,19571,20415,19557,20302,1226.53390450,24901091.329159003
1661644800,2022-08-28 00:00:00,BTC/USD,20044,20159,19526,19557,883.35771116,17275826.75715612
1661558400,2022-08-27 00:00:00,BTC/USD,20242,20376,19766,20045,1322.83765891,26516280.87285095
1661472000,2022-08-26 00:00:00,BTC/USD,21550,21870,20119,20250,3482.09137780,70512350.40044999
